mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__reg_lambda,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.7287184397379557,0.02925130169918678,0.06449405352274577,0.00376124095816961,0.8,0.05,4,400,0.5,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 400, 'model__reg_lambda': 0.5, 'model__subsample': 1.0}",0.9479824774826562,0.9321715016284838,0.9403573998542979,0.940170459655146,0.00645615723393049,27
1.1505903402964275,0.059642619335384825,0.0764621098836263,0.006582607192747075,0.8,0.05,4,400,1.0,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 400, 'model__reg_lambda': 1.0, 'model__subsample': 0.8}",0.9480029012088766,0.9361050286268605,0.9422089260627732,0.9421056186328367,0.004857835410501461,10
0.767283042271932,0.031172425525541652,0.06449389457702637,0.004484728166626404,0.8,0.05,4,400,1.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 400, 'model__reg_lambda': 1.0, 'model__subsample': 1.0}",0.9474998833990904,0.931250049238765,0.9380064253429582,0.9389187859936046,0.006665262136738296,32
0.5661534468332926,0.028598190797617468,0.04122320810953776,0.004017076998494216,0.8,0.1,3,200,0.5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__reg_lambda': 0.5, 'model__subsample': 0.8}",0.940696480256718,0.9273295287066088,0.933287233462204,0.9337710808085102,0.005467749666705536,41
0.37433552742004395,0.015883060694919085,0.04454477628072103,0.0004751357214549023,0.8,0.1,3,200,0.5,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__reg_lambda': 0.5, 'model__subsample': 1.0}",0.9402023746183734,0.9243193864872181,0.9320347479265091,0.9321855030107002,0.006485078941445103,50
0.6126952171325684,0.01728030389026345,0.04421504338582357,0.00047013408649250444,0.8,0.1,3,200,1.0,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__reg_lambda': 1.0, 'model__subsample': 0.8}",0.9404487218906398,0.9279083536147497,0.9326583150784484,0.9336717968612792,0.00516949824237229,42
0.442482868830363,0.018647512761025612,0.0515291690826416,0.005777135905220753,0.8,0.1,3,200,1.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__reg_lambda': 1.0, 'model__subsample': 1.0}",0.9406057246442039,0.9246805203121612,0.9324279148196866,0.9325713865920173,0.006502228918682149,45
1.2353641192118328,0.07324050635558696,0.0718081792195638,0.015535880591442673,0.8,0.1,3,400,0.5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__reg_lambda': 0.5, 'model__subsample': 0.8}",0.946512563339545,0.9368181545890601,0.9423678279186547,0.94189951528242,0.00397155534598326,13
0.7433465321858724,0.03592587188063958,0.05817763010660807,0.0012443462899750307,0.8,0.1,3,400,0.5,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__reg_lambda': 0.5, 'model__subsample': 1.0}",0.9487242672189836,0.9362695046825508,0.9399897999575766,0.9416611906197035,0.005220181192182061,15
1.2091004848480225,0.04645421836768875,0.06382942199707031,0.0057000723805772655,0.8,0.1,3,400,1.0,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__reg_lambda': 1.0, 'model__subsample': 0.8}",0.9456468944201786,0.936577795093307,0.9415418058296616,0.9412554984477156,0.0037079751516502293,19
0.7479999860127767,0.013891249519051713,0.058177947998046875,0.0016945001461542888,0.8,0.1,3,400,1.0,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__reg_lambda': 1.0, 'model__subsample': 1.0}",0.9479690349573984,0.934389587216383,0.9390219702254489,0.9404601974664101,0.005636294494034422,24
0.7742636998494467,0.05964204920346682,0.05119633674621582,0.0012438153238713543,0.8,0.1,4,200,0.5,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__reg_lambda': 0.5, 'model__subsample': 0.8}",0.9482097378544185,0.9348404284969147,0.9411003292048085,0.941383498518714,0.005461669269824195,16
0.48969101905822754,0.03878954434955861,0.04986731211344401,2.9736021254650284e-07,0.8,0.1,4,200,0.5,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__reg_lambda': 0.5, 'model__subsample': 1.0}",0.9476605995574217,0.9350584911934331,0.9400568390006099,0.9409253099171547,0.00518131033002856,22
0.734370231628418,0.0737142409135898,0.05119681358337402,0.003390683589941508,0.8,0.1,4,200,1.0,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__reg_lambda': 1.0, 'model__subsample': 0.8}",0.9469434668287492,0.9338795850952141,0.9403976827382493,0.9404069115540709,0.005333311376948299,26
