mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.4744744300842285,0.7647398095538595,0.9687752723693848,0.07583236438449836,5,10,20,200,"{'model__max_depth': 5, 'model__min_samples_leaf': 10, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.8896978828297254,0.9070441237305875,0.902728478544954,0.899823495035089,0.007373475672622159,57
2.6218199729919434,0.048871098722132765,0.8313986460367838,0.05372743403903755,5,10,20,400,"{'model__max_depth': 5, 'model__min_samples_leaf': 10, 'model__min_samples_split': 20, 'model__n_estimators': 400}",0.890507702577941,0.907034907720237,0.9031961650891902,0.900246258462456,0.007062274859359947,55
1.2053360144297283,0.1276159127476582,1.2265063126881917,0.27525090113607664,5,10,50,200,"{'model__max_depth': 5, 'model__min_samples_leaf': 10, 'model__min_samples_split': 50, 'model__n_estimators': 200}",0.8899029390600234,0.9070913186223015,0.9016406764874899,0.899544978056605,0.007171892448029115,60
3.173140366872152,0.04856063290094847,0.4031949043273926,0.1030098772882755,5,10,50,400,"{'model__max_depth': 5, 'model__min_samples_leaf': 10, 'model__min_samples_split': 50, 'model__n_estimators': 400}",0.8904724736351497,0.9073133947426824,0.902629236292238,0.9001383682233567,0.007097298722751927,56
1.696599006652832,0.3238197339107814,1.1371841430664062,0.23308119287072995,5,10,100,200,"{'model__max_depth': 5, 'model__min_samples_leaf': 10, 'model__min_samples_split': 100, 'model__n_estimators': 200}",0.8889995470776849,0.9065784922398963,0.9013194762623823,0.8989658385266545,0.007367022745419392,64
3.7076831658681235,0.055472011939484825,0.8951523303985596,0.3904494554512946,5,10,100,400,"{'model__max_depth': 5, 'model__min_samples_leaf': 10, 'model__min_samples_split': 100, 'model__n_estimators': 400}",0.8897149770424723,0.9067653394174856,0.9017758717718782,0.8994187294106121,0.00715755099473157,61
1.8003095785776775,0.2928523139722358,0.5194456577301025,0.3593554052421931,5,20,20,200,"{'model__max_depth': 5, 'model__min_samples_leaf': 20, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.8892318054030495,0.9063180656248314,0.901520486394006,0.8990234524739623,0.007195436326357538,63
3.4648993015289307,0.34263830611010115,0.8230837186177572,0.27977992652122063,5,20,20,400,"{'model__max_depth': 5, 'model__min_samples_leaf': 20, 'model__min_samples_split': 20, 'model__n_estimators': 400}",0.8897597192862705,0.9066655984022411,0.9022962993336506,0.8995738723407207,0.007165235223858222,59
1.9316235383351643,0.3127007574102106,0.787584145863851,0.19502847469217308,5,20,50,200,"{'model__max_depth': 5, 'model__min_samples_leaf': 20, 'model__min_samples_split': 50, 'model__n_estimators': 200}",0.8894894820795423,0.9066028700737265,0.9011380768753071,0.899076809676192,0.00713692879836902,62
3.826317548751831,0.3413722861653597,0.42788394292195636,0.10900813997676503,5,20,50,400,"{'model__max_depth': 5, 'model__min_samples_leaf': 20, 'model__min_samples_split': 50, 'model__n_estimators': 400}",0.8898453389953329,0.9069501055604798,0.9020276915598328,0.8996077120385485,0.00718959829543665,58
