model,threshold,precision,recall,f1,approval_rate,default_rate_among_approved,fp,fn,realized_loss_1e5
gradient_boosting,-64.351331,0.429227,0.893461,0.579876,0.550603,0.041775,1617,145,-20.181217
gradient_boosting_tuned,-112.523025,0.470654,0.925055,0.623885,0.575666,0.028107,1416,102,-25.041766
logistic_regression,1968.781541,0.401481,0.796473,0.533859,0.571701,0.076859,1616,277,-11.539729
logistic_regression_tuned,1867.058737,0.393502,0.800882,0.527717,0.560596,0.076684,1680,271,-11.401058
random_forest,2676.542384,0.536481,0.734754,0.620155,0.704315,0.081306,864,361,-13.116201
random_forest_tuned,2208.118668,0.607477,0.764144,0.676863,0.728426,0.069904,672,321,-17.318035
xgboost,185.309591,0.574489,0.847171,0.684679,0.681631,0.048406,854,208,-21.135242
xgboost_tuned,-44.806743,0.526589,0.894930,0.663038,0.633090,0.035831,1095,143,-24.620453
