model,threshold,precision,recall,f1,approval_rate,default_rate_among_approved,fp,fn,realized_loss_1e5
gradient_boosting,0.500000,0.962963,0.706833,0.815254,0.841529,0.075212,37,399,-12.723115
gradient_boosting_tuned,0.500000,0.959024,0.722263,0.823973,0.837405,0.071604,42,378,-14.944109
logistic_regression,0.500000,0.558683,0.772961,0.648582,0.701301,0.069894,831,309,-12.151854
logistic_regression_tuned,0.500000,0.557560,0.772226,0.647566,0.700984,0.070152,834,310,-11.767479
random_forest,0.500000,0.756522,0.767083,0.761766,0.781091,0.064379,336,317,-16.510463
random_forest_tuned,0.500000,0.842105,0.752388,0.794723,0.807107,0.066234,192,337,-16.496026
xgboost,0.500000,0.966901,0.708303,0.817642,0.841846,0.074807,33,397,-13.163001
xgboost_tuned,0.500000,0.961500,0.715650,0.820556,0.839308,0.073143,39,387,-14.157773
