model,threshold,precision,recall,f1,approval_rate,default_rate_among_approved,fp,fn
gradient_boosting,0.44,0.9231508165225745,0.7060984570168993,0.8001665278934221,0.834892942109437,0.07598784194528875,80,400
gradient_boosting_tuned,0.33,0.9205776173285198,0.7494489346069066,0.8262454434993924,0.8242664551942902,0.06561477775639792,88,341
logistic_regression,0.67,0.6724397590361446,0.6561351947097722,0.6641874302714764,0.7893735130848533,0.09403254972875226,435,468
logistic_regression_tuned,0.65,0.656137832017229,0.671565025716385,0.663761801016703,0.7790642347343378,0.09100162866449511,479,447
random_forest,0.69,0.9290187891440501,0.6539309331373989,0.7675722294092281,0.8480570975416336,0.08808677763231719,68,471
random_forest_tuned,0.62,0.9315738025415444,0.7002204261572373,0.799496644295302,0.8377478191911182,0.07724346838318819,70,408
xgboost,0.48,0.954954954954955,0.700955180014695,0.8084745762711865,0.8415543219666931,0.0767056162834527,45,407
xgboost_tuned,0.37,0.9325323475046211,0.7413666421748715,0.8260335652885796,0.8283901665344965,0.06739421788244304,73,352
