model,roc_auc,average_precision,brier_score,accuracy,precision,recall,f1,tn,fp,fn,tp
xgboost,0.9357797838085451,0.8852279021988264,0.05871646582147706,0.9346550356859635,0.9656862745098039,0.7232011747430249,0.8270361041141897,4908,35,377,985
gradient_boosting,0.9320784847407285,0.8802799259759746,0.06101836558499462,0.9329103885804917,0.9580487804878048,0.7209985315712188,0.8227901131126938,4900,43,380,982
random_forest,0.9226950822340912,0.864252174430297,0.09730124965360606,0.8929421094369548,0.7420718816067653,0.7731277533039648,0.7572815533980582,4577,366,309,1053
logistic_regression,0.8752667338644392,0.7259102386917051,0.1347584844642574,0.8209357652656621,0.5610267155578837,0.7863436123348018,0.6548456129623969,4105,838,291,1071
