model,threshold,precision,recall,f1,approval_rate,default_rate_among_approved,fp,fn,realized_loss_1e5
gradient_boosting,0.154141,0.665468,0.815577,0.732915,0.735406,0.054142,558,251,-19.827267
gradient_boosting_tuned,0.115343,0.577778,0.878766,0.697173,0.671637,0.038970,874,165,-23.968841
logistic_regression,0.350225,0.437332,0.838354,0.574811,0.586136,0.059540,1468,220,-16.016610
logistic_regression_tuned,0.353043,0.435878,0.839089,0.573725,0.584391,0.059446,1478,219,-15.845068
random_forest,0.313516,0.488439,0.869214,0.625430,0.615799,0.045853,1239,178,-18.978939
random_forest_tuned,0.329466,0.592593,0.834680,0.693106,0.695907,0.051288,781,225,-19.492468
xgboost,0.132632,0.580727,0.845702,0.688603,0.685596,0.048589,831,210,-20.760586
xgboost_tuned,0.088410,0.515507,0.903747,0.656525,0.621510,0.033435,1156,131,-24.763470
