mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.6961276531219482,0.06718081065311063,0.0542456309000651,0.009796836255100102,0.03,2,10,100,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 10, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.8787789915990121,0.8946838187519947,0.8919613626733842,0.8884747243414637,0.006945423761239069,160
3.1574827829996743,0.25166892817799535,0.04536318778991699,0.004586157621023278,0.03,2,10,100,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 10, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.8821971652444033,0.8970614750997521,0.8931380073463037,0.8907988825634864,0.00628970351347595,157
5.419438441594441,0.38930052510285684,0.05882143974304199,0.006139396721894336,0.03,2,10,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 10, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.8995348590388921,0.9099591329399087,0.90736976237126,0.9056212514500203,0.00443165427518326,144
6.687277873357137,0.5083248693156149,0.0576631228129069,0.007856315383677629,0.03,2,10,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 10, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.8993743220843999,0.9097206315107583,0.9072009911151442,0.9054319815701009,0.004405192070298338,146
8.255508979161581,0.09143930151768866,0.07362278302510579,0.00776878879954984,0.03,2,10,300,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 10, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.9061587921556293,0.9146226571452398,0.9136989073249695,0.9114934522086129,0.003790978487874094,134
9.610960563023886,0.37810368437153574,0.07236194610595703,0.009826778930975817,0.03,2,10,300,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 10, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.9051891786795628,0.9139377737954043,0.9136957874337914,0.9109409133029196,0.00406829020047667,138
2.9067434469858804,0.15617685917618418,0.052975972493489586,0.005885146606402134,0.03,2,20,100,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 20, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.8787789915990121,0.8946838187519947,0.8919613626733842,0.8884747243414637,0.006945423761239069,160
3.065716584523519,0.054380141113122095,0.04733586311340332,0.0026361202357429486,0.03,2,20,100,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 20, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.8821215047723326,0.8970614750997521,0.8929650762352838,0.8907160187024562,0.006303140655552586,159
5.434853712717692,0.24524984354377055,0.06101266543070475,0.004546756891023432,0.03,2,20,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 20, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.8995497235717154,0.9098654120604575,0.9071018231455515,0.9055056529259081,0.004359982933968811,145
6.3192557493845625,0.13108735965052404,0.05693340301513672,0.0058076002881819674,0.03,2,20,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 20, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.8996849908204076,0.9099239783197817,0.9074909181453465,0.9056999624285119,0.0043676735254848005,142
8.496411403020224,0.2433037789543319,0.0613399346669515,0.0033043517860515833,0.03,2,20,300,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 20, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.9065924649007503,0.9148142609733325,0.9140493751006535,0.9118187003249121,0.0037086758761161547,133
9.70028829574585,0.272848513263906,0.06800413131713867,5.891721405299708e-06,0.03,2,20,300,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 20, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.9054032279522187,0.9144849372486314,0.913968629345637,0.9112855981821624,0.004164801164062888,137
2.8714908758799234,0.13542923546787386,0.05300442377726237,0.0032733298220930704,0.03,2,50,100,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 50, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.8785531993454255,0.8946838187519947,0.8920965579577728,0.8884445253517309,0.007073529398472889,162
3.2870986461639404,0.29983862347077084,0.048004706700642906,0.002115465596292171,0.03,2,50,100,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 50, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.8822544680184374,0.8970614750997521,0.8929650762352838,0.8907603397844911,0.006242729733570937,158
